Entity,Code,Year,Fossil fuels (TWh)
Azerbaijan,AZE,1992,209.22708
Azerbaijan,AZE,1993,178.80656
Azerbaijan,AZE,1994,165.45341
Azerbaijan,AZE,1995,156.04692
Azerbaijan,AZE,1996,127.195816
Azerbaijan,AZE,1997,121.09228
Azerbaijan,AZE,1998,120.87608
Azerbaijan,AZE,1999,121.90019
Azerbaijan,AZE,2000,127.51921
Azerbaijan,AZE,2001,123.40542
Azerbaijan,AZE,2002,119.712585
Azerbaijan,AZE,2003,128.8719
Azerbaijan,AZE,2004,145.95897
Azerbaijan,AZE,2005,158.22023
Azerbaijan,AZE,2006,156.92683
Azerbaijan,AZE,2007,144.38663
Azerbaijan,AZE,2008,144.89145
Azerbaijan,AZE,2009,123.71573
Azerbaijan,AZE,2010,118.8725
Azerbaijan,AZE,2011,138.35764
Azerbaijan,AZE,2012,145.09778
Azerbaijan,AZE,2013,149.9351
Azerbaijan,AZE,2014,153.42847
Azerbaijan,AZE,2015,167.10147
Azerbaijan,AZE,2016,164.51315
Azerbaijan,AZE,2017,161.87666
Azerbaijan,AZE,2018,170.90749
Azerbaijan,AZE,2019,181.0588
Azerbaijan,AZE,2020,181.42369
Azerbaijan,AZE,2021,193.5152
Azerbaijan,AZE,2022,205.42244
Azerbaijan,AZE,2023,212.14291
Azerbaijan,AZE,2024,198.68527
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,12.889406
Bangladesh,BGD,1972,14.673129
Bangladesh,BGD,1973,18.50149
Bangladesh,BGD,1974,20.028004
Bangladesh,BGD,1975,20.041862
Bangladesh,BGD,1976,23.432259
Bangladesh,BGD,1977,24.146006
Bangladesh,BGD,1978,25.527687
Bangladesh,BGD,1979,28.059145
Bangladesh,BGD,1980,33.026455
Bangladesh,BGD,1981,34.991577
Bangladesh,BGD,1982,39.09484
Bangladesh,BGD,1983,38.232666
Bangladesh,BGD,1984,40.790104
Bangladesh,BGD,1985,46.08889
Bangladesh,BGD,1986,51.205933
Bangladesh,BGD,1987,56.455784
Bangladesh,BGD,1988,62.580402
Bangladesh,BGD,1989,66.893814
Bangladesh,BGD,1990,71.242424
Bangladesh,BGD,1991,68.77665
Bangladesh,BGD,1992,75.35679
Bangladesh,BGD,1993,83.6379
Bangladesh,BGD,1994,88.18551
Bangladesh,BGD,1995,106.00862
Bangladesh,BGD,1996,110.01726
Bangladesh,BGD,1997,115.76473
Bangladesh,BGD,1998,123.00139
Bangladesh,BGD,1999,124.522194
Bangladesh,BGD,2000,133.90605
Bangladesh,BGD,2001,152.66777
Bangladesh,BGD,2002,153.83672
Bangladesh,BGD,2003,162.74109
Bangladesh,BGD,2004,173.20352
Bangladesh,BGD,2005,187.9779
Bangladesh,BGD,2006,203.5893
Bangladesh,BGD,2007,209.4283
Bangladesh,BGD,2008,220.05402
Bangladesh,BGD,2009,244.00813
Bangladesh,BGD,2010,248.84616
Bangladesh,BGD,2011,268.7568
Bangladesh,BGD,2012,292.3768
Bangladesh,BGD,2013,303.9278
Bangladesh,BGD,2014,316.2386
Bangladesh,BGD,2015,381.8581
Bangladesh,BGD,2016,383.65576
Bangladesh,BGD,2017,399.2974
Bangladesh,BGD,2018,427.0528
Bangladesh,BGD,2019,479.2814
Bangladesh,BGD,2020,454.27634
Bangladesh,BGD,2021,488.96756
Bangladesh,BGD,2022,508.4126
Bangladesh,BGD,2023,502.39996
Bangladesh,BGD,2024,522.9284
Belarus,BLR,1985,407.9846
Belarus,BLR,1986,465.77924
Belarus,BLR,1987,472.56024
Belarus,BLR,1988,479.34583
Belarus,BLR,1989,463.60153
Belarus,BLR,1990,465.91333
Belarus,BLR,1991,464.85297
Belarus,BLR,1992,404.90295
Belarus,BLR,1993,337.81522
Belarus,BLR,1994,282.14813
Belarus,BLR,1995,250.64694
Belarus,BLR,1996,257.09088
Belarus,BLR,1997,260.03897
Belarus,BLR,1998,254.26794
Belarus,BLR,1999,247.36047
Belarus,BLR,2000,254.91924
Belarus,BLR,2001,247.82335
Belarus,BLR,2002,256.39148
Belarus,BLR,2003,254.47063
Belarus,BLR,2004,284.93546
Belarus,BLR,2005,284.00003
Belarus,BLR,2006,302.00308
Belarus,BLR,2007,294.58023
Belarus,BLR,2008,298.3142
Belarus,BLR,2009,281.95898
Belarus,BLR,2010,305.41483
Belarus,BLR,2011,299.93552
Belarus,BLR,2012,324.38
Belarus,BLR,2013,293.27744
Belarus,BLR,2014,293.96518
Belarus,BLR,2015,266.00723
Belarus,BLR,2016,271.64682
Belarus,BLR,2017,275.72052
Belarus,BLR,2018,305.25546
Belarus,BLR,2019,306.44016
Belarus,BLR,2020,282.85425
Belarus,BLR,2021,294.60895
Belarus,BLR,2022,288.16553
Belarus,BLR,2023,271.03683
Belarus,BLR,2024,271.5097
Belgium,BEL,1965,412.1369
Belgium,BEL,1966,396.95782
Belgium,BEL,1967,416.6844
Belgium,BEL,1968,464.5224
Belgium,BEL,1969,510.0323
Belgium,BEL,1970,538.7019
Belgium,BEL,1971,528.9381
Belgium,BEL,1972,562.16943
Belgium,BEL,1973,569.2344
Belgium,BEL,1974,549.3082
Belgium,BEL,1975,497.96344
Belgium,BEL,1976,520.5978
Belgium,BEL,1977,515.2745
Belgium,BEL,1978,537.71906
Belgium,BEL,1979,557.25793
Belgium,BEL,1980,528.7187
Belgium,BEL,1981,499.75403
Belgium,BEL,1982,469.30164
Belgium,BEL,1983,429.5044
Belgium,BEL,1984,441.6411
Belgium,BEL,1985,445.16956
Belgium,BEL,1986,448.54868
Belgium,BEL,1987,457.85806
Belgium,BEL,1988,466.24158
Belgium,BEL,1989,476.08435
Belgium,BEL,1990,498.42087
Belgium,BEL,1991,519.6058
Belgium,BEL,1992,516.315
Belgium,BEL,1993,510.6576
Belgium,BEL,1994,546.805
Belgium,BEL,1995,552.7208
Belgium,BEL,1996,589.1822
Belgium,BEL,1997,584.9376
Belgium,BEL,1998,602.0638
Belgium,BEL,1999,588.42444
Belgium,BEL,2000,603.48157
Belgium,BEL,2001,602.8867
Belgium,BEL,2002,597.30505
Belgium,BEL,2003,626.1305
Belgium,BEL,2004,629.15594
Belgium,BEL,2005,618.787
Belgium,BEL,2006,621.70856
Belgium,BEL,2007,621.80615
Belgium,BEL,2008,639.17194
Belgium,BEL,2009,571.00775
Belgium,BEL,2010,612.62366
Belgium,BEL,2011,556.8064
Belgium,BEL,2012,543.6436
Belgium,BEL,2013,552.079
Belgium,BEL,2014,523.21405
Belgium,BEL,2015,545.3013
Belgium,BEL,2016,551.70197
Belgium,BEL,2017,557.659
Belgium,BEL,2018,587.78217
Belgium,BEL,2019,568.64856
Belgium,BEL,2020,505.0083
Belgium,BEL,2021,541.3976
Belgium,BEL,2022,509.48926
Belgium,BEL,2023,486.13043
Belgium,BEL,2024,489.87027
Brazil,BRA,1965,198.42204
Brazil,BRA,1966,216.26239
Brazil,BRA,1967,223.26753
Brazil,BRA,1968,263.15
Brazil,BRA,1969,289.1421
Brazil,BRA,1970,343.1777
Brazil,BRA,1971,372.7313
Brazil,BRA,1972,426.18042
Brazil,BRA,1973,510.66965
Brazil,BRA,1974,562.2753
Brazil,BRA,1975,582.8163
Brazil,BRA,1976,627.01337
Brazil,BRA,1977,653.83795
Brazil,BRA,1978,717.5555
Brazil,BRA,1979,755.3806
Brazil,BRA,1980,751.63617
Brazil,BRA,1981,710.3281
Brazil,BRA,1982,731.466
Brazil,BRA,1983,701.3342
Brazil,BRA,1984,726.32733
Brazil,BRA,1985,767.7744
Brazil,BRA,1986,823.0752
Brazil,BRA,1987,848.22943
Brazil,BRA,1988,869.938
Brazil,BRA,1989,880.15173
Brazil,BRA,1990,859.2709
Brazil,BRA,1991,888.1356
Brazil,BRA,1992,897.35315
Brazil,BRA,1993,940.2603
Brazil,BRA,1994,988.349
Brazil,BRA,1995,1050.2279
Brazil,BRA,1996,1126.5142
Brazil,BRA,1997,1205.2446
Brazil,BRA,1998,1258.3861
Brazil,BRA,1999,1279.368
Brazil,BRA,2000,1346.8123
Brazil,BRA,2001,1377.541
Brazil,BRA,2002,1368.4822
Brazil,BRA,2003,1351.8254
Brazil,BRA,2004,1425.7623
Brazil,BRA,2005,1446.6989
Brazil,BRA,2006,1481.5897
Brazil,BRA,2007,1551.8441
Brazil,BRA,2008,1645.6338
Brazil,BRA,2009,1561.6267
Brazil,BRA,2010,1753.8448
Brazil,BRA,2011,1826.8772
Brazil,BRA,2012,1951.5303
Brazil,BRA,2013,2073.4927
Brazil,BRA,2014,2151.1353
Brazil,BRA,2015,2089.39
Brazil,BRA,2016,1935.6086
Brazil,BRA,2017,1960.4471
Brazil,BRA,2018,1867.5176
Brazil,BRA,2019,1872.509
Brazil,BRA,2020,1734.1833
Brazil,BRA,2021,1939.3363
Brazil,BRA,2022,1872.7915
Brazil,BRA,2023,1883.2297
Brazil,BRA,2024,1889.1785
Bulgaria,BGR,1965,114.011665
Bulgaria,BGR,1966,122.62188
Bulgaria,BGR,1967,143.3616
Bulgaria,BGR,1968,163.07874
Bulgaria,BGR,1969,180.6298
Bulgaria,BGR,1970,202.99503
Bulgaria,BGR,1971,211.58034
Bulgaria,BGR,1972,218.12338
Bulgaria,BGR,1973,225.47414
Bulgaria,BGR,1974,231.24681
Bulgaria,BGR,1975,250.81227
Bulgaria,BGR,1976,258.11255
Bulgaria,BGR,1977,268.9954
Bulgaria,BGR,1978,281.25055
Bulgaria,BGR,1979,290.9273
Bulgaria,BGR,1980,307.51938
Bulgaria,BGR,1981,294.46066
Bulgaria,BGR,1982,299.61502
Bulgaria,BGR,1983,296.56036
Bulgaria,BGR,1984,293.67322
Bulgaria,BGR,1985,293.00446
Bulgaria,BGR,1986,302.50763
Bulgaria,BGR,1987,303.50546
Bulgaria,BGR,1988,301.20682
Bulgaria,BGR,1989,301.99954
Bulgaria,BGR,1990,277.9761
Bulgaria,BGR,1991,218.48158
Bulgaria,BGR,1992,208.68486
Bulgaria,BGR,1993,218.66853
Bulgaria,BGR,1994,206.19438
Bulgaria,BGR,1995,217.25267
Bulgaria,BGR,1996,212.0586
Bulgaria,BGR,1997,198.72113
Bulgaria,BGR,1998,190.23712
Bulgaria,BGR,1999,164.30557
Bulgaria,BGR,2000,158.01701
Bulgaria,BGR,2001,164.59538
Bulgaria,BGR,2002,155.0223
Bulgaria,BGR,2003,168.57736
Bulgaria,BGR,2004,162.37
Bulgaria,BGR,2005,172.51389
Bulgaria,BGR,2006,175.43185
Bulgaria,BGR,2007,184.77348
Bulgaria,BGR,2008,179.45264
Bulgaria,BGR,2009,150.88222
Bulgaria,BGR,2010,154.66158
Bulgaria,BGR,2011,170.47176
Bulgaria,BGR,2012,156.51334
Bulgaria,BGR,2013,140.88452
Bulgaria,BGR,2014,148.92491
Bulgaria,BGR,2015,159.54132
Bulgaria,BGR,2016,151.68547
Bulgaria,BGR,2017,160.05421
Bulgaria,BGR,2018,150.32834
Bulgaria,BGR,2019,146.88351
Bulgaria,BGR,2020,130.93222
Bulgaria,BGR,2021,150.05031
Bulgaria,BGR,2022,159.59811
Bulgaria,BGR,2023,127.576096
Bulgaria,BGR,2024,119.96507
CIS (EI),,1965,6670.7964
CIS (EI),,1966,7078.841
CIS (EI),,1967,7462.689
CIS (EI),,1968,7703.691
CIS (EI),,1969,8040.4116
CIS (EI),,1970,8429.683
CIS (EI),,1971,8854.193
CIS (EI),,1972,9321.167
CIS (EI),,1973,9807.643
CIS (EI),,1974,10323.314
CIS (EI),,1975,10852.625
CIS (EI),,1976,11237.641
CIS (EI),,1977,11694.834
CIS (EI),,1978,12155.222
CIS (EI),,1979,12478.681
CIS (EI),,1980,12697.966
CIS (EI),,1981,12938.937
CIS (EI),,1982,13279.264
CIS (EI),,1983,13527.698
CIS (EI),,1984,13912.221
CIS (EI),,1985,11113.453
